rank,archetype,score,hash16,formula_percent,source,process_tags,transformation,purification,self_healing,structure_strength,durability,bio_safety,energy_conversion,biomineralization,accessibility,testability,low_hazard,rule_rewriting,autocatalysis,closed_loop_learning,generativity,programmability,world_modeling,agency,feedback_gain,raw_density,matrix_like,mineral_like,sorbent_like,catalyst_like,energy_like,bio_process_like,engine_like,closed_loop_like,rule_editor_like,memory_like,components_json,notes_json
1,LAPIS_UNIVERSAL,0.47106423,c8a4c3c28814acea,TITANIUM_DIOXIDE_SAFE_TOKEN=33.75%; ACTIVATED_CARBON_SAFE=20.77%; POLYDOPAMINE_SAFE_TOKEN=15.67%; DIATOM_BIOSILICA_TOKEN=15.19%; CLAY_PLATELET_BARRIER=14.61%,mutated,ADSORBENT_CORE ANIMA_BIO EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE SELF_HEALING_LAYER,0.632523,0.765108,0.19502,0.56395,0.897189,0.738921,0.467801,0.257834,0.652457,0.688937,0.740404,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.596913,0.1567,0.44413,0.415482,0.675078,0,0.15191,0,0,0,0,"{""DIATOM_BIOSILICA_TOKEN"": 0.1519100105239135, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3375389650011789, ""CLAY_PLATELET_BARRIER"": 0.14610995538805904, ""ACTIVATED_CARBON_SAFE"": 0.20774123995345942, ""POLYDOPAMINE_SAFE_TOKEN"": 0.1566998291333891}","{""archetype"": ""LAPIS_UNIVERSAL"", ""archetype_description"": ""balanced modern philosopher-stone analogue"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
2,LAPIS_UNIVERSAL,0.46993194,9c3dab59410301b7,TITANIUM_DIOXIDE_SAFE_TOKEN=33.91%; DIATOM_BIOSILICA_TOKEN=19.88%; ACTIVATED_CARBON_SAFE=18.58%; CLAY_PLATELET_BARRIER=14.68%; POLYDOPAMINE_SAFE_TOKEN=12.95%,mutated,ADSORBENT_CORE ANIMA_BIO EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE SELF_HEALING_LAYER,0.622961,0.754109,0.181802,0.56395,0.900589,0.74346,0.462663,0.319727,0.638226,0.678143,0.743763,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.609999,0.129511,0.492354,0.371615,0.678245,0,0.198764,0,0,0,0,"{""DIATOM_BIOSILICA_TOKEN"": 0.1987636023500794, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3391223552392105, ""CLAY_PLATELET_BARRIER"": 0.14679535500418892, ""ACTIVATED_CARBON_SAFE"": 0.1858073416622182, ""POLYDOPAMINE_SAFE_TOKEN"": 0.12951134574430298}","{""archetype"": ""LAPIS_UNIVERSAL"", ""archetype_description"": ""balanced modern philosopher-stone analogue"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
3,LAPIS_UNIVERSAL,0.46799616,33ac9b6dc412319e,TITANIUM_DIOXIDE_SAFE_TOKEN=30.66%; DIATOM_BIOSILICA_TOKEN=26.18%; ACTIVATED_CARBON_SAFE=19.8%; POLYDOPAMINE_SAFE_TOKEN=8.23%; ZEOLITE_SAFE=7.65%; CLAY_PLATELET_BARRIER=7.49%,mutated,ADSORBENT_CORE ANIMA_BIO EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE SELF_HEALING_LAYER,0.605284,0.791692,0.151515,0.550203,0.885323,0.751397,0.427755,0.398952,0.620302,0.668474,0.750753,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.532638,0.082285,0.487967,0.472478,0.613205,0,0.261781,0,0,0,0,"{""DIATOM_BIOSILICA_TOKEN"": 0.2617805169139851, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3066024981868677, ""CLAY_PLATELET_BARRIER"": 0.07485563834253643, ""ACTIVATED_CARBON_SAFE"": 0.19800146129590723, ""POLYDOPAMINE_SAFE_TOKEN"": 0.08228509968610744, ""ZEOLITE_SAFE"": 0.0764747855745961}","{""archetype"": ""LAPIS_UNIVERSAL"", ""archetype_description"": ""balanced modern philosopher-stone analogue"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
4,LAPIS_UNIVERSAL,0.46790355,a81ee4577e6d0d8d,TITANIUM_DIOXIDE_SAFE_TOKEN=31.94%; DIATOM_BIOSILICA_TOKEN=27.37%; ACTIVATED_CARBON_SAFE=26.3%; POLYDOPAMINE_SAFE_TOKEN=9.21%; CLAY_PLATELET_BARRIER=5.17%,mutated,ADSORBENT_CORE ANIMA_BIO EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE SELF_HEALING_LAYER,0.615886,0.777886,0.157647,0.54406,0.881072,0.745677,0.450594,0.395569,0.612427,0.663566,0.743724,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.521445,0.092145,0.377166,0.5261,0.638707,0,0.273737,0,0,0,0,"{""DIATOM_BIOSILICA_TOKEN"": 0.27373743583271376, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3193533784409371, ""CLAY_PLATELET_BARRIER"": 0.051714373023968835, ""ACTIVATED_CARBON_SAFE"": 0.26304979841025794, ""POLYDOPAMINE_SAFE_TOKEN"": 0.0921450142921224}","{""archetype"": ""LAPIS_UNIVERSAL"", ""archetype_description"": ""balanced modern philosopher-stone analogue"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
5,LAPIS_CATALYST,0.68915558,f9442c9ea36b6549,ZEOLITE_SAFE=60.3%; TITANIUM_DIOXIDE_SAFE_TOKEN=33.17%; CARBON_BLACK_SAFE_TOKEN=3.31%; GRAPHENE_OXIDE_SAFE_TOKEN=1.93%; ZINC_OXIDE_SAFE_TOKEN=1.28%,mutated,CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE SELF_HEALING_LAYER,0.708258,0.970243,0.051605,0.528251,0.929006,0.748014,0.463605,0.030092,0.740122,0.771474,0.76875,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.829475,0,0.602994,0.655416,0.676319,0.052423,0,0,0,0,0,"{""ZINC_OXIDE_SAFE_TOKEN"": 0.012848430752203491, ""ZEOLITE_SAFE"": 0.6029935116572008, ""GRAPHENE_OXIDE_SAFE_TOKEN"": 0.01932789028323408, ""CARBON_BLACK_SAFE_TOKEN"": 0.03309466586257474, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3317355014447869}","{""archetype"": ""LAPIS_CATALYST"", ""archetype_description"": ""stone as transformer: catalysis/resource conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
6,LAPIS_CATALYST,0.68802718,6868185189694f83,ZEOLITE_SAFE=56.53%; TITANIUM_DIOXIDE_SAFE_TOKEN=31.66%; GRAPHENE_OXIDE_SAFE_TOKEN=5.95%; ZINC_OXIDE_SAFE_TOKEN=4.21%; CARBON_BLACK_SAFE_TOKEN=1.66%,mutated,CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE SELF_HEALING_LAYER,0.711343,0.945505,0.056998,0.536624,0.927741,0.735564,0.483893,0.030357,0.720238,0.762134,0.75522,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.896054,0,0.565261,0.641343,0.675228,0.076081,0,0,0,0,0,"{""ZINC_OXIDE_SAFE_TOKEN"": 0.04208612119813361, ""ZEOLITE_SAFE"": 0.5652614080447518, ""GRAPHENE_OXIDE_SAFE_TOKEN"": 0.059483690812715935, ""CARBON_BLACK_SAFE_TOKEN"": 0.016597750340463194, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.31657102960393546}","{""archetype"": ""LAPIS_CATALYST"", ""archetype_description"": ""stone as transformer: catalysis/resource conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
7,LAPIS_CATALYST,0.68699448,98e46f915a314005,ZEOLITE_SAFE=55.35%; TITANIUM_DIOXIDE_SAFE_TOKEN=31.0%; ZINC_OXIDE_SAFE_TOKEN=6.0%; GRAPHENE_OXIDE_SAFE_TOKEN=3.83%; CARBON_BLACK_SAFE_TOKEN=3.82%,mutated,CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE SELF_HEALING_LAYER,0.709983,0.933559,0.053274,0.530306,0.926673,0.73371,0.490717,0.030158,0.728189,0.763766,0.753656,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.943833,0,0.553481,0.629997,0.679976,0.076516,0,0,0,0,0,"{""ZINC_OXIDE_SAFE_TOKEN"": 0.060029259994776825, ""ZEOLITE_SAFE"": 0.5534809794945934, ""GRAPHENE_OXIDE_SAFE_TOKEN"": 0.038309444631680775, ""CARBON_BLACK_SAFE_TOKEN"": 0.038206839800202994, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.309973476078746}","{""archetype"": ""LAPIS_CATALYST"", ""archetype_description"": ""stone as transformer: catalysis/resource conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
8,LAPIS_CATALYST,0.68583078,d5f329c7486f2f47,ZEOLITE_SAFE=55.8%; TITANIUM_DIOXIDE_SAFE_TOKEN=31.42%; CARBON_BLACK_SAFE_TOKEN=5.66%; ZINC_OXIDE_SAFE_TOKEN=4.18%; GRAPHENE_OXIDE_SAFE_TOKEN=2.95%,crossover,CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE SELF_HEALING_LAYER,0.704412,0.938751,0.051984,0.527231,0.923934,0.734061,0.490944,0.029963,0.732261,0.765055,0.754924,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.885865,0,0.557979,0.644068,0.670108,0.086089,0,0,0,0,0,"{""CARBON_BLACK_SAFE_TOKEN"": 0.05661849617804382, ""GRAPHENE_OXIDE_SAFE_TOKEN"": 0.02947076481851046, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.31417598351487436, ""ZEOLITE_SAFE"": 0.557979125626583, ""ZINC_OXIDE_SAFE_TOKEN"": 0.04175562986198844}","{""archetype"": ""LAPIS_CATALYST"", ""archetype_description"": ""stone as transformer: catalysis/resource conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
9,LAPIS_PURIFIER,0.76881389,d9b44128e602a29d,ZEOLITE_SAFE=61.56%; TITANIUM_DIOXIDE_SAFE_TOKEN=27.67%; BIOCHAR_SAFE=5.26%; BACTERIAL_CELLULOSE_MATRIX=4.39%; ENZYME_LACCASE_TOKEN=1.12%,mutated,BIOMINERALIZED EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE SELF_HEALING_LAYER,0.664499,0.997082,0.071229,0.536779,0.896531,0.774701,0.373477,0.047769,0.75785,0.773997,0.794798,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.623462,0.043887,0.615574,0.720808,0.575844,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.04388747706543755, ""BIOCHAR_SAFE"": 0.052616879536452256, ""ZEOLITE_SAFE"": 0.6155738220752894, ""ENZYME_LACCASE_TOKEN"": 0.011197590126799037, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.27672423119602174}","{""archetype"": ""LAPIS_PURIFIER"", ""archetype_description"": ""stone as purifier: adsorption/separation/detox"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
10,LAPIS_PURIFIER,0.76799372,29a70a623c7b16ca,ZEOLITE_SAFE=60.17%; TITANIUM_DIOXIDE_SAFE_TOKEN=27.09%; BIOCHAR_SAFE=6.74%; BACTERIAL_CELLULOSE_MATRIX=4.36%; ENZYME_LACCASE_TOKEN=1.64%,crossover,BIOMINERALIZED CLOSED_LOOP EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE SELF_HEALING_LAYER,0.66384,0.997632,0.071719,0.533376,0.891923,0.774048,0.37178,0.048616,0.757644,0.772743,0.794506,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.602971,0.043583,0.60167,0.73654,0.574624,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.04358310677487792, ""BIOCHAR_SAFE"": 0.06743545105843488, ""ENZYME_LACCASE_TOKEN"": 0.016367407595950706, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.2709444698772086, ""ZEOLITE_SAFE"": 0.601669564693528}","{""archetype"": ""LAPIS_PURIFIER"", ""archetype_description"": ""stone as purifier: adsorption/separation/detox"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
