archetype,hash16,score_final,formula_percent,source,gate_status,gate_reason,material_score,canvas_score,stagekeeper_score,demiurge_score,scene_viability,birth_readiness,containment_integrity,hypothesis_visibility,expert_gate,final_priority,creative_potential,safe_containment,signal_clarity,process_tags,components_json
LAPIS_STAGEKEEPER,25ee89bc34d3eb10,0.86796435,REPRODUCIBLE_SCENE_PROTOCOL=61.86%; LOW_NOISE_MEMORY_FIELD=27.91%; SAFE_CONTAINMENT_MATRIX=6.85%; SIGNAL_CLARITY_GATE=1.95%; CLEAN_CANVAS_SURFACE=1.43%,mutated,PASSED,OK,0.896201,0.948331,0.957997,0.064128,0.923515,0.820478,0.859697,0.928036,0.929123,0.867964,0.647619,0.936301,0.996889,ADSORBENT_CORE CLEAN_CANVAS CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE REPRODUCIBLE_SCENE SAFE_CONTAINMENT SAFE_STAGE SELF_HEALING_LAYER,"{""CLEAN_CANVAS_SURFACE"": 0.014258193542139065, ""LOW_NOISE_MEMORY_FIELD"": 0.2791236575375996, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.6186035595554783, ""SAFE_CONTAINMENT_MATRIX"": 0.06853561310948011, ""SIGNAL_CLARITY_GATE"": 0.019478976255302923}"
LAPIS_STAGEKEEPER,d1476acc959083c2,0.86687351,REPRODUCIBLE_SCENE_PROTOCOL=60.32%; LOW_NOISE_MEMORY_FIELD=31.68%; SAFE_CONTAINMENT_MATRIX=5.06%; SIGNAL_CLARITY_GATE=1.88%; CLEAN_CANVAS_SURFACE=1.05%,mutated,PASSED,OK,0.895845,0.949346,0.957479,0.069483,0.923118,0.820419,0.857269,0.928377,0.927908,0.866874,0.651999,0.933032,1,ADSORBENT_CORE CLEAN_CANVAS CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE REPRODUCIBLE_SCENE SAFE_CONTAINMENT SAFE_STAGE SELF_HEALING_LAYER,"{""CLEAN_CANVAS_SURFACE"": 0.010528834950791757, ""SIGNAL_CLARITY_GATE"": 0.018811188339408574, ""SAFE_CONTAINMENT_MATRIX"": 0.05060950789792541, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.6032066787565675, ""LOW_NOISE_MEMORY_FIELD"": 0.3168437900553068}"
LAPIS_CANVAS,8bf6330ccbaa7ed8,0.86235561,REPRODUCIBLE_SCENE_PROTOCOL=61.92%; LOW_NOISE_MEMORY_FIELD=23.52%; CLEAN_CANVAS_SURFACE=6.51%; SIGNAL_CLARITY_GATE=5.22%; SAFE_CONTAINMENT_MATRIX=2.83%,mutated,PASSED,OK,0.885559,0.957234,0.951485,0.057892,0.923921,0.819865,0.849502,0.937462,0.925845,0.862356,0.660536,0.905188,0.998362,ADSORBENT_CORE CLEAN_CANVAS CLOSED_LOOP EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE SAFE_STAGE WORLD_MODEL,"{""CLEAN_CANVAS_SURFACE"": 0.06506494047723523, ""SIGNAL_CLARITY_GATE"": 0.052234641156436404, ""SAFE_CONTAINMENT_MATRIX"": 0.02831907283718401, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.6191819623907304, ""LOW_NOISE_MEMORY_FIELD"": 0.235199383138414}"
LAPIS_CANVAS,fefb7193ccd6e05b,0.86209518,REPRODUCIBLE_SCENE_PROTOCOL=61.93%; LOW_NOISE_MEMORY_FIELD=22.93%; CLEAN_CANVAS_SURFACE=6.34%; SIGNAL_CLARITY_GATE=6.3%; SAFE_CONTAINMENT_MATRIX=2.5%,mutated,PASSED,OK,0.885457,0.957749,0.950959,0.057057,0.923809,0.819662,0.848375,0.938154,0.925602,0.862095,0.661177,0.901639,0.999122,ADSORBENT_CORE CLEAN_CANVAS EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE SAFE_STAGE,"{""CLEAN_CANVAS_SURFACE"": 0.06343820528165899, ""SIGNAL_CLARITY_GATE"": 0.06297771611825105, ""SAFE_CONTAINMENT_MATRIX"": 0.02499374386848678, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.619271339890216, ""LOW_NOISE_MEMORY_FIELD"": 0.2293189948413872}"
LAPIS_CANVAS,6176f721ce40a1bd,0.86199147,REPRODUCIBLE_SCENE_PROTOCOL=62.0%; LOW_NOISE_MEMORY_FIELD=22.96%; SIGNAL_CLARITY_GATE=6.31%; CLEAN_CANVAS_SURFACE=5.06%; SAFE_CONTAINMENT_MATRIX=3.67%,mutated,PASSED,OK,0.884253,0.955319,0.951909,0.057095,0.923362,0.819452,0.85042,0.9358,0.926381,0.861991,0.657715,0.906977,0.997461,ADSORBENT_CORE CLEAN_CANVAS EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE SAFE_STAGE,"{""CLEAN_CANVAS_SURFACE"": 0.05063835445589785, ""SIGNAL_CLARITY_GATE"": 0.06305178324154295, ""SAFE_CONTAINMENT_MATRIX"": 0.03672151353010283, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.6199996553882989, ""LOW_NOISE_MEMORY_FIELD"": 0.22958869338415747}"
LAPIS_CANVAS,b7d5e2c59c17f428,0.86110051,REPRODUCIBLE_SCENE_PROTOCOL=59.8%; LOW_NOISE_MEMORY_FIELD=27.97%; CLEAN_CANVAS_SURFACE=5.43%; SIGNAL_CLARITY_GATE=4.45%; SAFE_CONTAINMENT_MATRIX=2.36%,mutated,PASSED,OK,0.884795,0.955932,0.951708,0.064204,0.922979,0.819569,0.849006,0.935269,0.925107,0.861101,0.662265,0.907115,1,ADSORBENT_CORE CLEAN_CANVAS CLOSED_LOOP EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE SAFE_STAGE SELF_HEALING_LAYER WORLD_MODEL,"{""CLEAN_CANVAS_SURFACE"": 0.05425582233927091, ""SIGNAL_CLARITY_GATE"": 0.044475019037214285, ""SAFE_CONTAINMENT_MATRIX"": 0.023614477680260183, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.5979951964675451, ""LOW_NOISE_MEMORY_FIELD"": 0.27965948447570954}"
LAPIS_CANVAS,c2a41133446a3d78,0.8604106,REPRODUCIBLE_SCENE_PROTOCOL=61.75%; LOW_NOISE_MEMORY_FIELD=20.97%; SIGNAL_CLARITY_GATE=6.33%; SAFE_CONTAINMENT_MATRIX=5.83%; CLEAN_CANVAS_SURFACE=5.12%,mutated,PASSED,OK,0.882086,0.951822,0.950742,0.054271,0.921792,0.818303,0.852153,0.932452,0.92695,0.860411,0.654151,0.90889,0.989174,ADSORBENT_CORE CLEAN_CANVAS EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE SAFE_STAGE,"{""CLEAN_CANVAS_SURFACE"": 0.05120757006831541, ""SIGNAL_CLARITY_GATE"": 0.06334362490323148, ""SAFE_CONTAINMENT_MATRIX"": 0.058270720327450724, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.617481677483222, ""LOW_NOISE_MEMORY_FIELD"": 0.2096964072177804}"
LAPIS_CANVAS,8c59da72f47a22ad,0.86012886,REPRODUCIBLE_SCENE_PROTOCOL=60.99%; LOW_NOISE_MEMORY_FIELD=22.2%; CLEAN_CANVAS_SURFACE=6.41%; SAFE_CONTAINMENT_MATRIX=5.66%; SIGNAL_CLARITY_GATE=4.74%,mutated,PASSED,OK,0.88265,0.952359,0.950256,0.056023,0.921759,0.8184,0.851933,0.932489,0.926442,0.860129,0.656175,0.909046,0.9884,ADSORBENT_CORE CLEAN_CANVAS EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE SAFE_STAGE SELF_HEALING_LAYER,"{""CLEAN_CANVAS_SURFACE"": 0.0640822053689445, ""SIGNAL_CLARITY_GATE"": 0.04737107031669458, ""SAFE_CONTAINMENT_MATRIX"": 0.05661648158848047, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.609892666545821, ""LOW_NOISE_MEMORY_FIELD"": 0.22203757618005954}"
LAPIS_CANVAS,21ffa17fe21656c4,0.85984053,REPRODUCIBLE_SCENE_PROTOCOL=61.72%; LOW_NOISE_MEMORY_FIELD=19.66%; CLEAN_CANVAS_SURFACE=6.64%; SIGNAL_CLARITY_GATE=6.36%; SAFE_CONTAINMENT_MATRIX=5.61%,crossover,PASSED,OK,0.882406,0.952849,0.949096,0.052408,0.921573,0.817992,0.850814,0.933532,0.926436,0.859841,0.656093,0.903923,0.986627,ADSORBENT_CORE CLEAN_CANVAS CLOSED_LOOP EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE SAFE_STAGE,"{""CLEAN_CANVAS_SURFACE"": 0.06644179975660089, ""LOW_NOISE_MEMORY_FIELD"": 0.19657096597112905, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.6172467887812093, ""SAFE_CONTAINMENT_MATRIX"": 0.056104611299497724, ""SIGNAL_CLARITY_GATE"": 0.06363583419156307}"
LAPIS_CANVAS,56a10c2c2be5bc2f,0.85957434,REPRODUCIBLE_SCENE_PROTOCOL=60.74%; LOW_NOISE_MEMORY_FIELD=22.49%; SAFE_CONTAINMENT_MATRIX=7.42%; SIGNAL_CLARITY_GATE=5.4%; CLEAN_CANVAS_SURFACE=3.95%,mutated,PASSED,OK,0.880397,0.948397,0.951572,0.056431,0.920789,0.817854,0.854551,0.928638,0.927476,0.859574,0.650938,0.915861,0.986648,ADSORBENT_CORE CLEAN_CANVAS EXPERT_VALIDATION_REQUIRED LAMINATED LOW_HAZARD_GATE LOW_NOISE_FIELD PHOTOCATALYTIC_SURFACE SAFE_STAGE,"{""CLEAN_CANVAS_SURFACE"": 0.039486530237059836, ""SIGNAL_CLARITY_GATE"": 0.05404365236802924, ""SAFE_CONTAINMENT_MATRIX"": 0.07419555282752861, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.6073644465180028, ""LOW_NOISE_MEMORY_FIELD"": 0.22490981804937946}"
