class,representative,strategy,damage_limitation,proteome_preservation,membrane_or_solvent_homeostasis,genome_repair,reversible_pause,biophysical_stabilization,controlled_reentry,longevity_inference
RADIOPHILE,Deinococcus radiodurans,ACTIVE_REPAIR_WITH_PROTEOME_PROTECTION,STRONG,STRONG,SUPPORTED,STRONG,NO,NO,STRESS_RECOVERY_ONLY,NOT_ESTABLISHED
ANHYDROBIOTE_TARDIGRADE,Ramazzottius varieornatus,REVERSIBLE_ANHYDROBIOSIS,STRONG,STRONG,STRONG,SUPPORTED,STRONG,STRONG,STRONG,NOT_ESTABLISHED
ANHYDROBIOTE_ROTIFER,Adineta vaga,POST_REHYDRATION_REPAIR,STRONG,STRONG,SUPPORTED,STRONG,STRONG,SUPPORTED,STRONG,NOT_ESTABLISHED
ANHYDROBIOTE_INSECT,Polypedilum vanderplanki,TREHALOSE_LEA_GLASS_PLUS_RECOVERY,STRONG,STRONG,STRONG,STRONG,STRONG,STRONG,STRONG,NOT_ESTABLISHED
DORMANT_EXTREMOTOLERANT_STATE,Bacillus subtilis spore,PROTECT_PAUSE_REPAIR_ON_OUTGROWTH,STRONG,STRONG,STRONG,STRONG,STRONG,STRONG,STRONG,NOT_ESTABLISHED
RESURRECTION_PLANT,Craterostigma plantagineum,DESICCATION_PROGRAM_PLUS_REHYDRATION_RESET,STRONG,STRONG,STRONG,SUPPORTED,STRONG,STRONG,STRONG,NOT_ESTABLISHED
DESERT_POLYEXTREMOPHILE,Chroococcidiopsis spp.,DRY_DORMANCY_PLUS_SHIELDING_AND_REPAIR,STRONG,STRONG,STRONG,STRONG,STRONG,SUPPORTED,OPEN_2026_DATA_GAP,NOT_ESTABLISHED
FUNGAL_POLYEXTREMOPHILE,Cryomyces antarcticus,QUIESCENCE_PLUS_ENVELOPE_PROTECTION,STRONG,STRONG,STRONG,SUPPORTED,STRONG,SUPPORTED,SUPPORTED,NOT_ESTABLISHED
HALOPHILE,Haloferax volcanii,ACTIVE_ION_SOLVENT_HOMEOSTASIS,STRONG,STRONG,STRONG,STRONG,NO,NO,STRESS_RECOVERY_ONLY,NOT_ESTABLISHED
ACIDOPHILE,Picrophilus torridus,ACTIVE_PH_HOMEOSTASIS,STRONG,STRONG,STRONG,SUPPORTED,NO,NO,STRESS_RECOVERY_ONLY,NOT_ESTABLISHED
HALOALKALIPHILE,Natronomonas pharaonis,ACTIVE_HALOALKALINE_HOMEOSTASIS,STRONG,STRONG,STRONG,SUPPORTED,NO,NO,STRESS_RECOVERY_ONLY,NOT_ESTABLISHED
PSYCHROPHILE,Colwellia psychrerythraea,ACTIVE_COLD_HOMEOSTASIS,STRONG,STRONG,STRONG,STRONG,NO,NO,STRESS_RECOVERY_ONLY,NOT_ESTABLISHED
PIEZOHYPERTHERMOPHILE,Pyrococcus yayanosii,ACTIVE_PRESSURE_HEAT_HOMEOSTASIS,STRONG,STRONG,STRONG,SUPPORTED,NO,NO,STRESS_RECOVERY_ONLY,NOT_ESTABLISHED
OSMOPHILE,Zygosaccharomyces rouxii,ACTIVE_OSMOTIC_HOMEOSTASIS,STRONG,STRONG,STRONG,SUPPORTED,NO,NO,STRESS_RECOVERY_ONLY,NOT_ESTABLISHED
METALLOTOLERANT,Cupriavidus metallidurans,ACTIVE_DETOX_AND_HOMEOSTASIS,STRONG,STRONG,STRONG,SUPPORTED,NO,NO,STRESS_RECOVERY_ONLY,NOT_ESTABLISHED
