run_accession,experiment_accession,sample_accession,condition,condition_binding,sample_name,library_strategy,platform,instrument_model
DRR191026,DRX181481,DRS123447,T0,EXPLICIT_METADATA_TOKEN,Pv11 T0 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191027,DRX181482,DRS123448,T0,EXPLICIT_METADATA_TOKEN,Pv11 T0 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191028,DRX181483,DRS123449,T0,EXPLICIT_METADATA_TOKEN,Pv11 T0 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191029,DRX181484,DRS123450,T12,EXPLICIT_METADATA_TOKEN,Pv11 T12 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191030,DRX181485,DRS123451,T12,EXPLICIT_METADATA_TOKEN,Pv11 T12 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191031,DRX181486,DRS123452,T12,EXPLICIT_METADATA_TOKEN,Pv11 T12 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191032,DRX181487,DRS123453,T24,EXPLICIT_METADATA_TOKEN,Pv11 T24 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191033,DRX181488,DRS123454,T24,EXPLICIT_METADATA_TOKEN,Pv11 T24 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191034,DRX181489,DRS123455,T24,EXPLICIT_METADATA_TOKEN,Pv11 T24 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191035,DRX181490,DRS123456,T36,EXPLICIT_METADATA_TOKEN,Pv11 T36 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191036,DRX181491,DRS123457,T36,EXPLICIT_METADATA_TOKEN,Pv11 T36 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191037,DRX181492,DRS123458,T36,EXPLICIT_METADATA_TOKEN,Pv11 T36 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191038,DRX181493,DRS123459,T48,EXPLICIT_METADATA_TOKEN,Pv11 T48 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191039,DRX181494,DRS123460,T48,EXPLICIT_METADATA_TOKEN,Pv11 T48 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191040,DRX181495,DRS123461,T48,EXPLICIT_METADATA_TOKEN,Pv11 T48 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191041,DRX181496,DRS123462,R0,EXPLICIT_METADATA_TOKEN,Pv11 R0 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191042,DRX181497,DRS123463,R0,EXPLICIT_METADATA_TOKEN,Pv11 R0 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191043,DRX181498,DRS123464,R0,EXPLICIT_METADATA_TOKEN,Pv11 R0 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191044,DRX181499,DRS123465,R3,EXPLICIT_METADATA_TOKEN,Pv11 R3 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191045,DRX181500,DRS123466,R3,EXPLICIT_METADATA_TOKEN,Pv11 R3 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191046,DRX181501,DRS123467,R3,EXPLICIT_METADATA_TOKEN,Pv11 R3 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191047,DRX181502,DRS123468,R12,EXPLICIT_METADATA_TOKEN,Pv11 R12 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191048,DRX181503,DRS123469,R12,EXPLICIT_METADATA_TOKEN,Pv11 R12 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191049,DRX181504,DRS123470,R12,EXPLICIT_METADATA_TOKEN,Pv11 R12 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191050,DRX181505,DRS123471,R24,EXPLICIT_METADATA_TOKEN,Pv11 R24 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191051,DRX181506,DRS123472,R24,EXPLICIT_METADATA_TOKEN,Pv11 R24 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191052,DRX181507,DRS123473,R24,EXPLICIT_METADATA_TOKEN,Pv11 R24 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191053,DRX181508,DRS123474,R72,EXPLICIT_METADATA_TOKEN,Pv11 R72 rep1,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191054,DRX181509,DRS123475,R72,EXPLICIT_METADATA_TOKEN,Pv11 R72 rep2,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
DRR191055,DRX181510,DRS123476,R72,EXPLICIT_METADATA_TOKEN,Pv11 R72 rep3,RNA-Seq,ILLUMINA,Illumina HiSeq 1500
