system,model,tau_hours,readout_class,readout,observation,evidence_tier,source
Polypedilum_vanderplanki,whole_larva,<1,basic_function,physiological_activity,active life restored within about one hour,A_peer_reviewed,10.1371/journal.pone.0014008
Polypedilum_vanderplanki,whole_larva,0-1,damage_response,rehydration_ROS,oxidative stress peaks during first hour after rehydration,A_peer_reviewed,10.1016/j.mito.2023.11.002
Polypedilum_vanderplanki,whole_larva,2-6,damage_repair,selected_oxidative_damage,reported as rapidly repaired within a few hours,A_peer_reviewed,10.1016/j.mito.2023.11.002
Polypedilum_vanderplanki,whole_larva,72-96,genome_integrity,nuclear_DNA_restoration,whole nuclear DNA restoration typically requires 72-96 h,A_peer_reviewed,10.1371/journal.pone.0014008
Pv11,preconditioned_cell_line,0.5,basic_cell_function,mitochondrial_membrane_potential,rapidly restored within about 30 min,A_peer_reviewed,PMID:38608858
Pv11_00443_Or47a,engineered_cell_line,1,basic_cell_function,Orco_ligand_response,response detectable one hour after rehydration even with translation inhibition,A_peer_reviewed,10.1038/s41598-025-19627-x
Pv11_00443_Or47a,engineered_cell_line,1-6,protein_function,GCaMP6f_fluorescence,about 20 percent below pre-desiccation baseline,A_peer_reviewed,10.1038/s41598-025-19627-x
Pv11_00443_Or47a,engineered_cell_line,12-24,protein_recovery,de_novo_translation_dependent_response,functional response recovers from 12 h and is strongly restored by 24 h,A_peer_reviewed,10.1038/s41598-025-19627-x
Pv11,parent_cell_line,3,dna_repair_program,RAD16_like_repair_state,RAD16-like Pv.07646 specifically upregulated at R3,A_peer_reviewed,10.1038/s41598-018-36124-6
Pv11,parent_cell_line,24,dna_repair_program,NER_related_expression,NER-associated recovery genes elevated at R24,A_peer_reviewed,10.1038/s41598-018-36124-6
Pv11,parent_cell_line,3-72,transcriptome_recovery,rehydration_state,R3 R12 R24 R72 transcriptomes document staged return from anhydrobiosis,A_peer_reviewed,10.1371/journal.pone.0230218
Pv11_00443_Or47a,engineered_cell_line,1,cell_growth,live_cell_concentration,3.8e5 cells_per_mL baseline,A_peer_reviewed,10.1038/s41598-025-19627-x
Pv11_00443_Or47a,engineered_cell_line,1-48,cell_growth,live_cell_concentration,remains stable with no significant growth,A_peer_reviewed,10.1038/s41598-025-19627-x
Pv11_00443_Or47a,engineered_cell_line,72,high_risk_restart,significant_cell_proliferation,significant growth first detected,A_peer_reviewed,10.1038/s41598-025-19627-x
Pv11_00443_Or47a,engineered_cell_line,144,cell_growth,growth_plateau,live cell concentration reaches about 1.8e6 cells_per_mL,A_peer_reviewed,10.1038/s41598-025-19627-x
Pv11,dried_irradiated_cell_line,168_or_less,damage_load_control,normal_proliferation,control and lower ion-dose samples reported proliferation within about one week,B_technical_report,10.11484/jaea-review-2014-050
Pv11,dried_irradiated_cell_line,336,damage_load_control,normal_proliferation,480 Gy sample reported normal proliferation only around two weeks,B_technical_report,10.11484/jaea-review-2014-050
