system,model,time_value,time_unit,compartment,state_or_marker,observation,outcome,evidence_type,source
NEONATAL_SPINAL_CORD,P2 mouse crush,1-2,dpi,lesion core,microglia activation,microglia accumulate and activate; lesion gap remains,regenerative,interval_histology,10.1038/s41586-020-2795-6
NEONATAL_SPINAL_CORD,P2 mouse crush,3,dpi,lesion bridge,Fn1/fibronectin repair state,fibronectin-positive bridge present; activated CD68+/SPP1+ microglia occupy lesion,regenerative,histology_plus_scRNA,10.1038/s41586-020-2795-6
NEONATAL_SPINAL_CORD,P2 mouse crush,5,dpi,lesion core,microglial repair-state trajectory,transient repair-state contracts relative to 3 dpi in scRNA time series,regenerative,scRNA,GSE150871
NEONATAL_SPINAL_CORD,P2 mouse crush,7,dpi,lesion bridge,fibronectin bridge and microglial homeostasis,gap refilled; fibronectin bridge gone; most microglia ramified/P2Y12-positive,regenerative,histology,10.1038/s41586-020-2795-6
NEONATAL_SPINAL_CORD,P2 mouse crush,14,dpi,lesion core,CCR2+ infiltrating macrophages,infiltrating monocyte/macrophage population absent; lesion largely scar-free,regenerative,histology,10.1038/s41586-020-2795-6
ADULT_SPINAL_CORD,adult mouse crush,14,dpi,lesion core,CD68+ activated microglia/macrophages,activated states and scar architecture persist,scar-forming,histology_control,10.1038/s41586-020-2795-6
NEONATAL_TENDON,P5 mouse Achilles transection,3,dpi,tendon gap,alpha-SMA+ extrinsic helper cells,abundant alpha-SMA+/ScxGFP-negative cells occupy defect; intrinsic Scx cells proliferate near stubs,regenerative,lineage_histology,10.1038/srep45238
NEONATAL_TENDON,P5 mouse Achilles transection,7,dpi,tendon injury,scar-associated transcript output,alpha-SMA/Fb1/Col3a1 transient program elevated,regenerative,transcript_timepoint,10.1038/srep45238
NEONATAL_TENDON,P5 mouse Achilles transection,14,dpi,neo-tendon,alpha-SMA and Scx-lineage,continuous ScxGFP+ neo-tendon; only limited alpha-SMA staining,regenerative,lineage_histology,10.1038/srep45238
NEONATAL_TENDON,P5 mouse Achilles transection,28,dpi,neo-tendon,scar-associated transcript output,scar-associated transcripts return toward control while intrinsic tenocyte program persists,regenerative,transcript_timepoint,10.1038/srep45238
NEONATAL_TENDON,P5 mouse Achilles transection,56,dpi,whole tendon,functional architecture,tensile properties restored with organized but developmentally immature matrix,regenerative,functional_mechanics,10.1038/srep45238
ACOMYS_EAR,adult Acomys ear punch,1-2,weeks,wound bed,Acta2+/Myh11- myofibroblasts,myofibroblasts appear during early repair,regenerative,histology,10.1016/j.devcel.2021.09.008
ACOMYS_EAR,adult Acomys ear punch,3-4,weeks,wound bed,myofibroblast resolution,myofibroblasts resolve as blastema differentiates; Mus retains them longer,regenerative,histology,10.1016/j.devcel.2021.09.008
ACOMYS_EAR_YAP_INHIBITION,adult Acomys ear punch + chronic verteporfin,4,weeks,wound bed,myofibroblast persistence,myofibroblast persistence prolonged and regeneration shifts toward fibrosis,impaired_regeneration,causal_perturbation,10.1016/j.devcel.2021.09.008
ACOMYS_FULL_THICKNESS_SKIN,adult Acomys 1-cm dorsal wound,7,dpi,upper wound dermis,alpha-SMA+ cells,approximately 75 percent of upper wound-zone cells alpha-SMA-positive; similar initial induction in Mus,regenerative,quantified_histology,10.3390/cells15151370
MUS_FULL_THICKNESS_SKIN,adult CD-1 Mus 1-cm dorsal wound,7,dpi,upper wound dermis,alpha-SMA+ cells,approximately 75 percent of upper wound-zone cells alpha-SMA-positive; similar initial induction in Acomys,scar-forming,quantified_histology,10.3390/cells15151370
ACOMYS_FULL_THICKNESS_SKIN,adult Acomys 1-cm dorsal wound,14,dpi,upper wound dermis,alpha-SMA+ myofibroblasts,upper dermal alpha-SMA effectively disappears,regenerative,histology,10.3390/cells15151370
ACOMYS_FULL_THICKNESS_SKIN,adult Acomys 1-cm dorsal wound,14,dpi,panniculus bridge,alpha-SMA+ scaffold,strong alpha-SMA bridge forms between panniculus muscle ends,regenerative,histology,10.3390/cells15151370
MUS_FULL_THICKNESS_SKIN,adult CD-1 Mus 1-cm dorsal wound,14,dpi,upper wound dermis,alpha-SMA+ myofibroblasts,intense alpha-SMA remains throughout wound bed,scar-forming,histology,10.3390/cells15151370
ACOMYS_FULL_THICKNESS_SKIN,adult Acomys 1-cm dorsal wound,21,dpi,upper wound dermis,alpha-SMA+ myofibroblasts,dermal myofibroblasts remain cleared; regenerative appendages emerging,regenerative,histology,10.3390/cells15151370
